kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Pasaman,Sumatera Barat,24.2,0.17,6.74,59.8,38.31,8.14,100.08721913575232,0.3926289699086092,0.1929291899032203,0.2054939089876011,0.173596179528144,0.2113501464055053,0.2166305751755289,RLS
Dharmasraya,Sumatera Barat,16.5,0.05,5.32,58.6,45.21,8.98,101.55722339265304,-1.1312499346148688,0.1858847572129393,0.1868346041233954,0.172649694646774,0.226937788422655,0.2276931555942359,RLS
Pasaman Barat,Sumatera Barat,20.6,0.06,7.0,59.8,44.12,8.99,99.68550152863948,0.2034536786859745,0.1963444664917104,0.1976554726343382,0.1774394726789479,0.2090742045313313,0.2194863836636718,RLS
Kota Padang,Sumatera Barat,17.3,0.0,4.06,58.0,48.88,11.63,100.4376435366869,-0.8988752467056614,0.1866458901649508,0.1895156745694163,0.1752580474017436,0.2213340844816654,0.2272463033822236,RLS
Kota Solok,Sumatera Barat,14.4,0.0,3.07,58.1,46.37,11.37,100.62986592969956,-0.7828671354532273,0.1822803943946768,0.1933187577099555,0.1745029859832473,0.2229616911217399,0.2269361707903802,RLS
Kota Sawahlunto,Sumatera Barat,17.1,0.02,2.33,60.6,49.8,10.53,100.75440604263918,-0.652699075452828,0.1873726431253879,0.1847650856501713,0.1779791965746203,0.2197466251087904,0.2301364495410297,RLS
Kota Padang Panjang,Sumatera Barat,16.7,0.0,5.31,57.5,48.3,12.0,100.40229565866974,-0.4724543912639219,0.188183340185966,0.1999080610391007,0.1778842981415907,0.2108770893935061,0.2231472112398361,RLS
Kota Bukittinggi,Sumatera Barat,13.2,0.0,4.08,59.4,47.4,11.65,100.3725370356198,-0.299583414080955,0.1960236416178752,0.2062617128763997,0.1812672024900797,0.2035622839310011,0.212885159084644,RLS
Kota Payakumbuh,Sumatera Barat,14.3,0.0,5.19,59.8,46.1,10.89,100.63211796302733,-0.2269854167178533,0.1876019191516753,0.2131366543767488,0.165370972326378,0.2112764914500062,0.2226139626951913,RLS
Kota Pariaman,Sumatera Barat,13.6,0.0,4.26,58.9,47.61,11.06,100.13810080548754,-0.6085971648536129,0.1806555867987249,0.2031156772968691,0.17924006003169,0.2241216735831309,0.2128670022895847,Pangan Hewani
Kuantan Singingi,Riau,19.9,0.09,7.89,59.5,56.44,9.14,101.50591953451116,-0.4741799222254722,0.1791919329320506,0.1868351573119521,0.183865003047604,0.2319280965915086,0.2181798101168843,Pangan Hewani
Indragiri Hulu,Riau,15.0,0.19,6.02,55.2,49.75,8.43,102.3318831542071,-0.5414479595717919,0.2119857467688264,0.1966428038275283,0.1760274213710603,0.1883400206084152,0.2270040074241695,RLS
Siak,Riau,14.6,0.16,5.08,62.7,60.35,9.92,101.87542205041912,0.8170253200627076,0.1774255659185731,0.1937305581511029,0.1790945697422227,0.2310064365180496,0.2187428696700513,Pangan Hewani
Rokan Hulu,Riau,14.7,0.08,9.62,62.0,51.54,8.94,100.50535645751904,0.9430558662205,0.1874155607170716,0.2005261682474564,0.1772970781975251,0.2064093492645417,0.2283518435734048,RLS
Bengkalis,Riau,9.9,0.06,6.36,64.9,64.31,9.74,101.64286612657143,1.4119566739621554,0.1794578792090602,0.1944969866316557,0.1783409438159858,0.2254397890154381,0.2222644013278599,Pangan Hewani
Rokan Hilir,Riau,19.2,0.15,7.01,58.9,56.32,8.53,100.74918434711132,1.77318968838815,0.189011419113119,0.2177480196971519,0.1801768378004007,0.204068471074059,0.2089952523152691,Kemiskinan
Kepulauan Meranti,Riau,15.6,0.26,23.15,56.7,51.57,8.12,102.64933201558198,1.0032717318560629,0.1578202461043002,0.1818172140435409,0.1876423760725921,0.2329960924297465,0.23972407134982,RLS
Kota Pekanbaru,Riau,11.1,0.02,3.15,59.0,58.32,11.96,101.4657262780803,0.5512775994523211,0.1677597502985032,0.1926368135711475,0.1912604295951384,0.2281954650829427,0.2201475414522679,Pangan Hewani
Kota Dumai,Riau,13.6,0.0,3.14,62.3,61.57,10.29,101.28227319164158,1.8207901123382164,0.1788682807954172,0.1949588536185771,0.1878403553079508,0.219813754213912,0.2185187560641424,Pangan Hewani
Merangin,Jambi,7.2,0.34,8.4,55.9,41.01,8.4,102.06831905388236,-2.19318167636222,0.2022450344503581,0.1886329730799044,0.1916794842015839,0.1964440620515523,0.2209984462166009,RLS
Sarolangun,Jambi,4.4,0.23,8.36,53.3,41.36,8.35,102.67252176547136,-2.3063075393735275,0.1928353213456666,0.1963291694518195,0.1739934151430512,0.2077396339187319,0.2291024601407304,RLS
Tanjung Jabung Timur,Jambi,20.3,0.4,10.14,64.1,57.2,7.7,103.96530239024888,-1.2253869536493227,0.1927101195145057,0.1909500510742669,0.1724862552665257,0.1937483375679933,0.2501052365767082,RLS
Tanjung Jabung Barat,Jambi,5.1,0.43,9.54,58.6,50.97,8.32,103.11457009597768,-1.0713053365668728,0.1797858439542704,0.2041986592687553,0.1752485548914412,0.1961129544276268,0.244653987457906,RLS
Tebo,Jambi,14.9,0.21,6.12,55.6,41.56,8.04,102.3643071677086,-1.3075952739303214,0.213853150413445,0.1971079543751442,0.1654824313210866,0.1942723063179642,0.2292841575723597,RLS
Kota Jambi,Jambi,8.6,0.07,7.73,60.4,54.58,11.51,103.599789010878,-1.6181782927920334,0.2040095512964722,0.2001080343680244,0.1867565823413512,0.1773100592135867,0.2318157727805651,RLS
Kota Sungai Penuh,Jambi,6.4,0.03,2.92,56.0,44.32,10.48,101.33925723009024,-2.1132934877003926,0.2072121777804864,0.207993350614786,0.1645936184711208,0.1929328366026084,0.2272680165309981,RLS
Ogan Komering Ulu,Sumatera Selatan,19.2,0.2,10.68,56.7,44.44,8.86,104.10519055694236,-4.093787439480343,0.1660873239727383,0.1759475229955027,0.2272972732476137,0.1904658092120773,0.2402020705720677,RLS
Ogan Komering Ilir,Sumatera Selatan,17.6,0.2,12.08,65.6,53.24,7.19,105.39727665882526,-3.3639733092906265,0.1836621356160504,0.1834443165452839,0.2048575521797354,0.1862328124891875,0.2418031831697425,RLS
Muara Enim,Sumatera Selatan,16.6,0.3,9.79,65.6,50.19,8.27,103.99660856241196,-3.6367760920266345,0.1852949511814098,0.1941005426627177,0.2015205394018412,0.1782060950743717,0.2408778716796593,RLS
