kab_kota,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Kota Pontianak,0.17975417487667078,0.14499527553373193,0.19687567635661687,0.2427407164524028,0.2356341567805774,Pangan Hewani
Kota Prabumulih,0.16271833534342262,0.18866022134258786,0.22802825979011748,0.18493198428897503,0.23566119923489687,RLS
Kota Sabang,0.19405117518594828,0.24963488904676578,0.1853775956312078,0.1804147804451381,0.19052155969093987,Kemiskinan
Kota Salatiga,0.10253026355695972,0.22864482115593773,0.20886677237344667,0.2027137490313088,0.25724439388234693,RLS
Kota Samarinda,0.16671359154344054,0.2249699611225295,0.18903119358885168,0.2308105340328192,0.1884747197123589,Pangan Hewani
Kota Sawahlunto,0.18737264312538793,0.18476508565017138,0.17797919657462036,0.21974662510879048,0.2301364495410297,RLS
Kota Semarang,0.10550489537074358,0.22657854649045783,0.20126849302063887,0.21016816717145542,0.2564798979467041,RLS
Kota Serang,0.16383468732798165,0.1748365544202328,0.18931882332747726,0.2137179534796659,0.25829198144464227,RLS
Kota Singkawang,0.1777608564442682,0.14404385183652696,0.19594155722137213,0.23496654958583404,0.24728718491199864,RLS
Kota Solok,0.18228039439467686,0.19331875770995552,0.17450298598324734,0.2229616911217399,0.22693617079038025,RLS
Kota Subulussalam,0.1826898594635558,0.2288943160959123,0.19372601663633454,0.19747079659108588,0.19721901121311136,Kemiskinan
Kota Sungai Penuh,0.2072121777804864,0.20799335061478605,0.16459361847112086,0.19293283660260843,0.22726801653099812,RLS
Kota Surakarta,0.11242057740775024,0.21663269738373728,0.19663724566756902,0.21044874428942517,0.26386073525151815,RLS
Kota Tangerang,0.17687782129970525,0.18951406019048564,0.1799073811053287,0.2061799783381657,0.24752075906631457,RLS
Kota Tangerang Selatan,0.17317955134067578,0.1783416701335373,0.1865676945566154,0.2138011261584568,0.24810995781071454,RLS
Kota Tanjung Balai,0.1770871577803191,0.22915516175113465,0.17840811061307213,0.1980510396930208,0.21729853016245318,Kemiskinan
Kota Tanjung Pinang,0.20474615406765065,0.17746204869715754,0.18748126639283197,0.18954524295678626,0.2407652878855734,RLS
Kota Tarakan,0.17050718037063048,0.22468519156201572,0.18464381603568525,0.23228798861672725,0.18787582341494113,Pangan Hewani
Kota Tasikmalaya,0.18561589074226548,0.1911951769816552,0.20242686337975047,0.20709059392185317,0.21367147497447558,RLS
Kota Tegal,0.13916731548551223,0.22870495247633238,0.18792068709236112,0.20412916723694843,0.24007787770884567,RLS
Kota Ternate,0.21794282192239414,0.18979994987791893,0.17862953118497643,0.18284155187451556,0.23078614514019474,RLS
Kota Tidore Kepulauan,0.21865451586971274,0.19289979866082393,0.17555015239615696,0.18382443559208905,0.22907109748121707,RLS
Kota Tomohon,0.18981449931077016,0.20771421301487428,0.1839449316652059,0.1810749685589387,0.2374513874502108,RLS
Kota Tual,0.15877438765724852,0.1852319032835813,0.1608954019060244,0.27871279173065294,0.21638551542249262,Pangan Hewani
Kota Yogyakarta,0.111160113222926,0.2309115485974943,0.20067824202832052,0.20295445822707356,0.2542956379241855,RLS
Kotabaru,0.17470253368963815,0.23367965380471864,0.19714846698002253,0.20959563257295274,0.1848737129526678,Kemiskinan
Kotawaringin Barat,0.21213842200639146,0.20309324191347025,0.19792839598423612,0.19531603591785876,0.19152390417804316,Melahirkan Tidak di Faskes
Kuantan Singingi,0.17919193293205068,0.1868351573119521,0.183865003047604,0.23192809659150868,0.21817981011688437,Pangan Hewani
Kubu Raya,0.19590698410420135,0.15825398109318398,0.19899557754156788,0.22680736812594748,0.22003608913509914,Pangan Hewani
Kulon Progo,0.11738391833569678,0.22403663049385672,0.1938117838263453,0.20167150860651417,0.26309615873758685,RLS
Kuningan,0.17747358218698248,0.20212795795246782,0.1866319609750282,0.1959258560587183,0.23784064282680306,RLS
Kupang,0.14254182293057732,0.211041424682543,0.1319198686242089,0.3087852433115772,0.2057116404510934,Pangan Hewani
Kutai Barat,0.17923996462852,0.21456975494202882,0.18813525311886006,0.22597400810557003,0.1920810192050209,Pangan Hewani
Kutai Kartanegara,0.16044914906273244,0.23122063327343423,0.18441459509808705,0.2350856040396273,0.18883001852611878,Pangan Hewani
Kutai Timur,0.16207233349545644,0.21857636336068306,0.17631300761206511,0.2313608069997502,0.21167748853204502,Pangan Hewani
Labuhanbatu,0.17901041385374433,0.22025723383026852,0.18761830229483104,0.21166933260085663,0.20144471742029932,Kemiskinan
Lahat,0.17300995116059076,0.19221853751052903,0.22372591278593384,0.19460036668248437,0.21644523186046183,Konsumsi Protein
